name,V.C,V.E,V.E）,いちごチップ,いちごパウダー,いちごパウダー）,いちごパウダー）／乳化剤,いちごパウダー／乳化剤,でん粉,でん粉）／乳化剤,まっ茶,りんごパウダー,りんごパウダー／加工デンプン,りんご果汁パウダー／トレハロース,りんご果汁パウダー／乳化剤,アーモンド,アーモンドペースト,イカ墨）,イースト）,イースト／乳化剤,カカオニブ,カカオマス,カカオマス（国内製造,カカオマス（国内製造）,カラフルミンツ（砂糖,カラメル,カラメルソース,カラメル色素,カラメル）,カロチノイド,カロチノイド）,キャラメルパウダー,キャラメルペースト,クチナシ,クチナシ色素,クラッカー（国内製造）（小麦粉,クリーミングパウダー,クリーミングパウダー／乳化剤,ココアバター,ココアバター）,ココアバター／レシチン,ココアバター／乳化剤,ココアパウダー,ココアパウダー）,ココアパウダー／乳化剤,ココアパウダー／加工デンプン,コーヒー,ショートニング,スピルリナ青,セルロース,ゼラチン／乳化剤,ゼラチン／卵殻カルシウム,ソルビトール,タマリンド色素,チャ抽出物）,デキストリン,トレハロース,バター加工品,バター加工品／乳化剤,バター風味調味料,バナナパウダー,ビートレッド,ビートレッド）,ピンククリーム（砂糖,フラクトオリゴ糖,フラボノイド,フラボノイド）,ブルーベリーパウダー,ヘーゼルナッツペースト,ヘーゼルナッツ加工品,ホワイトクリーム（国内製造）（砂糖,ホワイトクリーム（砂糖,マカダミアナッツ,マルチトール,マーガリン,ライ麦粉,ラクチトール,ローズマリー抽出物）,乳たんぱく質,乳化剤,乳糖,光沢剤,全粉乳,加糖卵白,加糖卵黄,卵殻カルシウム,卵白,卵黄,国内製造),国内製造）,増粘剤（アラビアガム）,増粘多糖類,外国製造）,小麦全粒粉,小麦粉,小麦粉(国内製造),小麦粉（国内製造）,植物油脂,植物油脂加工食品,植物油脂／乳化剤,水あめ,甘味料（ラカンカ）,異性化液糖,発酵バター,着色料（クチナシ,着色料（ビートレッド,着色料（フラボノイド,着色料（紅麹,砂糖,砂糖(外国製造,砂糖（国内製造）,砂糖（外国製造,砂糖（外国製造）,紅花色素,紅茶,紅麹色素,紅麹）,練乳パウダー,練乳加工品,脱脂粉乳,脱脂粉乳／トレハロース,脱脂粉乳／レシチン,脱脂粉乳／乳化剤,膨脹剤,蜜漬けオレンジピール,還元水あめ,還元水あめ／ソルビトール,還元水あめ／レシチン,還元水あめ／乳化剤,還元水あめ／加工デンプン,還元水あめ／香料,酸化防止剤（V.C,酸化防止剤（V.E,酸化防止剤（ローズマリー抽出物）,酸味料,野菜色素,難消化性デキストリン,食塩,食塩／乳化剤,食塩／膨脹剤,香料,鶏卵,麦芽エキス,麦芽エキス／乳化剤,（一部に乳成分・アーモンド・大豆を含む）,（一部に乳成分・オレンジ・大豆を含む）,（一部に乳成分・大豆を含む）,（一部に乳成分・大豆・りんごを含む）,（一部に卵・乳成分・いか・大豆・ゼラチンを含む）,（一部に卵・乳成分・大豆・ゼラチンを含む）,（一部に卵・乳成分・大豆・バナナ・ゼラチンを含む）,（一部に小麦・乳成分・アーモンド・大豆を含む）,（一部に小麦・乳成分・大豆を含む）,（一部に小麦・乳成分・大豆・りんごを含む）,（一部に小麦・卵・乳成分・アーモンド・ごま・大豆を含む）,（一部に小麦・卵・乳成分・アーモンド・大豆を含む）,（一部に小麦・卵・乳成分・大豆を含む）,（一部に小麦・卵・乳成分・大豆・りんごを含む）,（準）チョコレート（砂糖
"明治ハイミルクチョコレート CUBIE 42g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"明治ストロベリー CUBIE 28g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"明治ミルクチョコレートスティックパック 10枚 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"明治ブラックチョコレートスティックパック 10枚 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"明治ストロベリーチョコレートスティックパック 10枚 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"明治ミルクチョコレート袋 128g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"明治ミルクチョコレートビッグパック 268g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"明治ハイミルクチョコレートビッグパック 268g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"明治 ザ・チョコレートベネズエラカカオ70 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"明治 ザ・チョコレートベネズエラカカオ55 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"明治 ザ・チョコレートブラジルカカオ70 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"明治 ザ・チョコレートブラジルカカオ55 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"明治 ザ・チョコレートペルーカカオ70 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"明治 ザ・チョコレートドミニカ共和国カカオ70 50g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"アーモンドチョコレート 88g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"アーモンドチョコレート大箱 173g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"アーモンドチョコレートストロベリー 47g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
